product_id,product_name,orders,users,reorders,reorder_rate,support_pct
1,1,281,206,159,0.5658362989323843,6.183547494595998e-05
2,2,11,11,0,0.0,2.420605780802704e-06
3,3,42,27,31,0.7380952380952381,9.242312981246687e-06
4,4,49,45,25,0.5102040816326531,1.0782698478121134e-05
7,7,2,2,1,0.5,4.401101419641279e-07
8,8,19,17,6,0.3157894736842105,4.1810463486592155e-06
9,9,21,17,16,0.7619047619047619,4.621156490623344e-06
10,10,336,275,150,0.44642857142857145,7.39385038499735e-05
11,11,16,10,10,0.625,3.5208811357130233e-06
12,12,41,30,16,0.3902439024390244,9.022257910264623e-06
13,13,2,2,1,0.5,4.401101419641279e-07
14,14,3,3,0,0.0,6.601652129461919e-07
17,17,1,1,0,0.0,2.2005507098206396e-07
18,18,15,13,8,0.5333333333333333,3.3008260647309597e-06
19,19,1,1,0,0.0,2.2005507098206396e-07
21,21,1,1,0,0.0,2.2005507098206396e-07
22,22,6,6,3,0.5,1.3203304258923838e-06
23,23,147,125,56,0.38095238095238093,3.2348095434363404e-05
24,24,2,2,0,0.0,4.401101419641279e-07
25,25,295,200,199,0.6745762711864407,6.491624593970887e-05
26,26,52,33,35,0.6730769230769231,1.1442863691067326e-05
27,27,25,22,9,0.36,5.501376774551599e-06
28,28,117,94,60,0.5128205128205128,2.5746443304901485e-05
29,29,29,25,12,0.41379310344827586,6.381597058479855e-06
30,30,3,3,2,0.6666666666666666,6.601652129461919e-07
31,31,10,10,2,0.2,2.20055070982064e-06
32,32,68,49,43,0.6323529411764706,1.496374482678035e-05
33,33,5,3,3,0.6,1.10027535491032e-06
34,34,915,706,542,0.5923497267759563,0.00020135038994858854
35,35,43,40,13,0.3023255813953488,9.462368052228751e-06
36,36,25,24,4,0.16,5.501376774551599e-06
37,37,110,100,50,0.45454545454545453,2.4206057808027037e-05
38,38,3,3,0,0.0,6.601652129461919e-07
39,39,1,1,0,0.0,2.2005507098206396e-07
40,40,15,13,7,0.4666666666666667,3.3008260647309597e-06
41,41,6,5,4,0.6666666666666666,1.3203304258923838e-06
43,43,29,29,5,0.1724137931034483,6.381597058479855e-06
44,44,59,47,32,0.5423728813559322,1.2983249187941775e-05
45,45,2594,1860,1677,0.6464919043947571,0.000570822854127474
46,46,24,12,16,0.6666666666666666,5.281321703569535e-06
47,47,42,34,22,0.5238095238095238,9.242312981246687e-06
48,48,1,1,0,0.0,2.2005507098206396e-07
49,49,303,237,172,0.5676567656765676,6.667668650756538e-05
50,50,43,37,12,0.27906976744186046,9.462368052228751e-06
51,51,1,1,0,0.0,2.2005507098206396e-07
52,52,2,2,0,0.0,4.401101419641279e-07
53,53,25,22,7,0.28,5.501376774551599e-06
54,54,159,129,96,0.6037735849056604,3.498875628614817e-05
55,55,6,6,0,0.0,1.3203304258923838e-06
56,56,4,4,0,0.0,8.802202839282558e-07
57,57,25,25,2,0.08,5.501376774551599e-06
58,58,8,8,4,0.5,1.7604405678565117e-06
59,59,4,4,2,0.5,8.802202839282558e-07
60,60,6,5,1,0.16666666666666666,1.3203304258923838e-06
61,61,3,3,0,0.0,6.601652129461919e-07
62,62,7,6,3,0.42857142857142855,1.5403854968744478e-06
63,63,148,124,82,0.5540540540540541,3.256815050534547e-05
64,64,2,2,1,0.5,4.401101419641279e-07
65,65,25,22,10,0.4,5.501376774551599e-06
66,66,35,26,20,0.5714285714285714,7.701927484372239e-06
67,67,5,5,0,0.0,1.10027535491032e-06
68,68,15,13,6,0.4,3.3008260647309597e-06
69,69,3,3,1,0.3333333333333333,6.601652129461919e-07
70,70,18,18,2,0.1111111111111111,3.9609912776771515e-06
71,71,6,6,0,0.0,1.3203304258923838e-06
73,73,4,4,1,0.25,8.802202839282558e-07
74,74,26,22,9,0.34615384615384615,5.721431845533663e-06
75,75,12,12,3,0.25,2.6406608517847675e-06
77,77,36,24,25,0.6944444444444444,7.921982555354303e-06
78,78,1,1,0,0.0,2.2005507098206396e-07
79,79,518,431,284,0.5482625482625483,0.00011398852676870913
81,81,6,5,3,0.5,1.3203304258923838e-06
82,82,8,7,3,0.375,1.7604405678565117e-06
83,83,85,62,46,0.5411764705882353,1.870468103347544e-05
84,84,14,14,2,0.14285714285714285,3.0807709937488956e-06
86,86,21,18,8,0.38095238095238093,4.621156490623344e-06
87,87,124,108,53,0.4274193548387097,2.7286828801775934e-05
88,88,3,3,0,0.0,6.601652129461919e-07
89,89,3,3,1,0.3333333333333333,6.601652129461919e-07
90,90,6,3,4,0.6666666666666666,1.3203304258923838e-06
92,92,2,2,0,0.0,4.401101419641279e-07
93,93,254,182,165,0.6496062992125984,5.589398802944425e-05
94,94,112,78,75,0.6696428571428571,2.4646167949991165e-05
95,95,368,361,52,0.14130434782608695,8.098026612139954e-05
96,96,37,37,4,0.10810810810810811,8.142037626336367e-06
